date,up_count,down_count,flat_count,valid_count,universe_total,coverage_ratio,breadth_net_ratio,up_ratio,down_ratio,breadth_log_ad_ratio,open_0050,close_0050,ret_c0_o1,ret_c0_c1,ret_o1_c1,ret_o1_o2,ret_o1_c2,ret_o1_c3,ret_o1_c5,ret_o1_c10,year,month
2011-01-03,0,0,0,0,1974,0.0,,,,0.0,75.88594412902884,75.70115692741594,0.0016273393002441683,-0.0024410089503661414,-0.004061738424045447,-0.007311129163281804,-0.020308692120227456,-0.021933387489845635,-0.02761982128350937,-0.011372867587327473,2011,1
2011-01-04,659,411,111,1181,1974,0.5982776089159068,0.23177570093457944,0.6158878504672897,0.3841121495327103,0.47167295204024473,75.82434839515787,75.51636972580305,-0.0032626427406198255,-0.01631321370309946,-0.013093289689034449,-0.013911620294599247,-0.014729950900163824,-0.023731587561375056,-0.004091653027823439,0.004091653027823217,2011,1
2011-01-05,228,885,64,1177,1974,0.5962512664640324,-0.5902964959568733,0.20485175202156333,0.7951482479784366,-1.354616246888629,75.2699867903192,74.28445504838375,-0.0008291873963517382,-0.0016583747927031434,-0.0008298755186720852,0.0,-0.009958506224066466,-0.00663900414937757,0.014107883817427558,0.029875518672199286,2011,1
2011-01-06,659,375,143,1177,1974,0.5962512664640324,0.2746615087040619,0.6373307543520309,0.36266924564796904,0.5632235009531799,74.22285931451277,74.16126358064182,0.0008305647840529673,-0.00913621262458486,-0.009958506224066466,-0.008298755186721962,-0.00663900414937757,0.009958506224066355,0.013278008298755362,0.023236514522821716,2011,1
2011-01-07,257,816,102,1175,1974,0.5952380952380952,-0.5209692451071761,0.23951537744641194,0.7604846225535881,-1.154007192306729,74.22285931451277,73.4837105080612,0.0016764459346185756,0.0033528918692373733,0.0016736401673640433,-0.0008368200836819106,0.018410041841004254,0.022594142259414474,0.02092050209205043,0.02092050209205043,2011,1
2011-01-10,469,590,119,1178,1974,0.596757852077001,-0.11425873465533522,0.4428706326723324,0.5571293673276676,-0.22930133698909938,73.60690197580313,73.73009344354506,-0.0025062656641603454,0.01670843776106934,0.019262981574539317,0.021775544388609847,0.023450586264656792,0.022613065326633208,0.019262981574539317,0.020938023450586263,2011,1
2011-01-11,754,285,143,1182,1974,0.5987841945288754,0.45139557266602504,0.7256977863330125,0.2743022136669875,0.9718132491118386,73.54530624193217,74.96200812096436,0.0024650780608053147,0.0041084634346755244,0.0016393442622950616,0.004098360655737654,0.0008196721311475308,0.0,0.0057377049180327155,0.007377049180327777,2011,1
2011-01-12,614,435,136,1185,1974,0.6003039513677811,0.17063870352716873,0.5853193517635844,0.41468064823641565,0.344314132713532,75.14679532257726,75.2699867903192,0.002454991816693841,-0.0008183306055647988,-0.0032653061224490187,-0.004897959183673528,-0.004081632653061162,-0.0065306122448981485,0.013061224489795853,0.012244897959183598,2011,1
2011-01-13,417,637,131,1185,1974,0.6003039513677811,-0.20872865275142316,0.3956356736242884,0.6043643263757116,-0.423269732741671,75.45477399193209,75.20839105644822,-0.0016380016380016515,-0.0008190008190007703,0.0008203445447088065,0.003281378178835226,-0.001640689089417613,0.006562756357670452,0.011484823625922846,0.024610336341263528,2011,1
2011-01-14,381,629,174,1184,1974,0.5997973657548126,-0.24554455445544554,0.37722772277227723,0.6227722772277228,-0.5008150027598901,75.08519958870629,75.14679532257726,0.0024590163934425924,-0.0024590163934428144,-0.004905968928863524,-0.009811937857726938,0.003270645952575757,0.014717906786590351,-0.002452984464431651,0.030253475061324586,2011,1
